state,city,population_2024
Illinois,Hickory Hills City,14118.0
Illinois,Hidalgo Village,108.0
Illinois,Highland City,10028.0
Illinois,Highland Park City,30794.0
Illinois,Highwood City,5358.0
Illinois,Hillcrest Village,1206.0
Illinois,Hillsboro City,5761.0
Illinois,Hillsdale Village,413.0
Illinois,Hillside Village,8031.0
Illinois,Hillview Village,92.0
Illinois,Hinckley Village,1976.0
Illinois,Hindsboro Village,273.0
Illinois,Hinsdale Village,17598.0
Illinois,Hodgkins Village,1487.0
Illinois,Hoffman Village,431.0
Illinois,Hoffman Estates Village,50920.0
Illinois,Holiday Hills Village,606.0
Illinois,Hollowayville Village,44.0
Illinois,Homer Village,1076.0
Illinois,Homer Glen Village,24852.0
Illinois,Hometown City,4193.0
Illinois,Homewood Village,18789.0
Illinois,Hoopeston City,4691.0
Illinois,Hooppole Village,173.0
Illinois,Hopedale Village,802.0
Illinois,Hopewell Village,415.0
Illinois,Hopkins Park Village,625.0
Illinois,Hoyleton Village,505.0
Illinois,Hudson Village,1767.0
Illinois,Huey Village,162.0
Illinois,Hull Village,373.0
Illinois,Humboldt Village,356.0
Illinois,Hume Village,313.0
Illinois,Huntley Village,28495.0
Illinois,Hurst City,750.0
Illinois,Hutsonville Village,471.0
Illinois,Illiopolis Village,834.0
Illinois,Ina Village,1648.0
Illinois,Indian Creek Village,535.0
Illinois,Indian Head Park Village,3956.0
Illinois,Indianola Village,219.0
Illinois,Industry Village,387.0
Illinois,Inverness Village,7428.0
Illinois,Iola Village,96.0
Illinois,Ipava Village,426.0
Illinois,Iroquois Village,131.0
Illinois,Irving Village,363.0
Illinois,Irvington Village,566.0
Illinois,Irwin Village,67.0
Illinois,Island Lake Village,8066.0
Illinois,Itasca Village,9506.0
Illinois,Iuka Village,490.0
Illinois,Ivesdale Village,262.0
Illinois,Jacksonville City,17801.0
Illinois,Jeffersonville Village,350.0
Illinois,Jeisyville Village,100.0
Illinois,Jerome Village,1646.0
Illinois,Jerseyville City,8350.0
Illinois,Jewett Village,194.0
Illinois,Johnsburg Village,6428.0
Illinois,Johnsonville Village,71.0
Illinois,Johnston City City,3309.0
Illinois,Joliet City,151837.0
Illinois,Jonesboro City,1655.0
Illinois,Joppa Village,333.0
Illinois,Joy Village,359.0
Illinois,Junction Village,54.0
Illinois,Junction City Village,523.0
Illinois,Justice Village,12267.0
Illinois,Kampsville Village,292.0
Illinois,Kane Village,280.0
Illinois,Kaneville Village,447.0
Illinois,Kangley Village,229.0
Illinois,Kankakee City,23535.0
Illinois,Kansas Village,649.0
Illinois,Kappa Village,233.0
Illinois,Karnak Village,403.0
Illinois,Kaskaskia Village,23.0
Illinois,Keenes Village,49.0
Illinois,Keensburg Village,172.0
Illinois,Keithsburg City,545.0
Illinois,Kell Village,170.0
Illinois,Kempton Village,177.0
Illinois,Kenilworth Village,2437.0
Illinois,Kenney Village,306.0
Illinois,Kewanee City,12146.0
Illinois,Keyesport Village,403.0
Illinois,Kilbourne Village,259.0
Illinois,Kildeer Village,4554.0
Illinois,Kincaid Village,1314.0
Illinois,Kinderhook Village,183.0
